L_m,power_law,lognormal,exponential
22.441815323620443,1.0,1.0,1.0
23.323072590426964,0.94770188783011,0.986490243331949,0.9724742899172752
24.238935541270187,0.8981388681967548,0.9716946391657706,0.9446702717069145
25.190763090751737,0.8511679009236632,0.9555742126530191,0.9166164951622302
26.17996751606224,0.8066534265657478,0.9381007490575725,0.888343567190719
27.208016552452147,0.7644669751809869,0.9192581798955165,0.8598841419703915
28.27643557098867,0.7244867955627953,0.8990438251117269,0.8312728960640794
29.38680984182997,0.6865975038628481,0.8774694464607846,0.8025464871462137
30.54078688637487,0.6506897505902627,0.8545620697943667,0.7737434950295434
31.740078921778053,0.6166599050260955,0.8303645382574987,0.7449043437372789
32.98646540145776,0.5844097561423673,0.804935764407501,0.7160712034522181
34.28179565536553,0.5538462291624557,0.7783506568523041,0.6872878712915057
35.627991633935444,0.5248811169448476,0.7506997059355007,0.65859963000658
37.02705075978437,0.4974308254150088,0.7220882229734858,0.6300530838950894
38.48104889139407,0.4714161323106939,0.6926352382091538,0.6016959714372115
39.992143403172946,0.44676195854441353,0.6624720735710133,0.5735769544344076
41.56257638646731,0.4233971515232183,0.6317406170702291,0.5457453837350795
43.19467797627161,0.40125427980044515,0.6005913357767918,0.5182510419787808
44.8908698085737,0.3802694384667931,0.5691810733507892,0.49114386417750183
46.653668613465044,0.3603820647190761,0.5376706856650526,0.4644736373767775
48.48568994934721,0.3415347630743811,0.5062225738008318,0.43828968109721544
50.38965208377476,0.3236731397252007,0.4749981773669355,0.41264051074323504
52.36838002669391,0.3067456455574717,0.44415549251660574,0.3875734866732823
54.424809722059756,0.2907034273784818,0.41384667814976367,0.36313445214581597
56.56199240405278,0.2755001869252705,0.3842158106318896,0.3393673638770834
58.783099124357314,0.26109204724662716,0.35539684207985617,0.316313919457685
61.09142545721971,0.24743742607305688,0.32751181010037694,0.29401318636061324
63.49039638926721,0.23449691580925933,0.3006693381420808,0.27250123771785256
65.98357140134289,0.22223316980277366,0.27496345572589925,0.2518108004282106
68.57464974989692,0.21061079456055787,0.2504727571825207,0.2319709214673225
71.26747595576992,0.1995962476024404,0.22725990660288653,0.21300665848266376
74.06604550851362,0.18915774065663885,0.2053714859480184,0.19493880085289497
76.9745107947109,0.17926514791797504,0.18483817309271272,0.17778362735383074
79.99718725909294,0.1698899191040089,0.1656752273730048,0.16155270638613395
83.13855980759426,0.16100499705817395,0.14788325228701268,0.14625274436866603
86.40328946184624,0.1525847396621129,0.13144919860496793,0.1318854873758758
89.79622027498316,0.14460484583185018,0.11634756643672188,0.11844768039206915
93.32238651902124,0.13704228538422655,0.10254176185801711,0.10593108766987308
96.98702015447647,0.12987523257118425,0.08998556250124531,0.09432257662129839
100.79555859330246,0.12308300309008592,0.07862464698617494,0.08360426645157681
104.75365276666807,0.1166459943882738,0.06839814504814526,0.07375374139030985
108.8671755095449,0.11054562908958744,0.05924016850847597,0.0647443269116364
113.14223027454466,0.1047643013795691,0.05108128757800949,0.05654542580329193
117.5851601879369,0.09928532619462033,0.043849922119744054,0.04912290938929607
122.20255746128322,0.09409289106847006,0.03747362314213925,0.042439557684654954
127.0012731726522,0.08917201049698192,0.03188022567855005,0.0364555408197189
131.98842743192816,0.08450848268959622,0.02699886007667269,0.03112893277615545
137.171419945298,0.08008884858258848,0.02276081434999015,0.02641624738531354
142.55794099458802,0.07590035299585901,0.019100245442511214,0.022272985709471078
148.15598284774532,0.0719309078211474,0.015954741881290015,0.01865418340712384
153.97385161739066,0.06816905713543497,0.013265744234223081,0.015514946515490013
160.0201795850393,0.06460394413885043,0.010978832992030781,0.012810964294191129
166.3039380092777,0.06122527982165949,0.009043895931794674,0.010498988375315836
172.83445043689585,0.058023313269913494,0.007415188709188735,0.008537268450474535
179.62140653673117,0.05498880352405495,0.006051303411797062,0.006885936069427479
186.67487647674528,0.05211299290926585,0.0049150601543875155,0.005507329782410209
194.00532586566771,0.049387581760588356,0.003973336593236032,0.004366256766001357
201.62363128137693,0.046804704469873545,0.0031968495753790316,0.003430188151028077
209.54109640905827,0.04435690678542958,0.0025599021189929134,0.002669387429213112
217.76946881308268,0.04203712429885581,0.0020401076408155653,0.0020569734545120713
