tau_s,Group_1,Group_2,Group_3,Group_4,Group_5,Pooled
4.635138071285913,45.9575030278102,31.58141494396361,33.44136409578423,51.27001509468222,35.545416285815364,37.45688705826601
6.223977924349187,100.75402573281208,37.87943360215924,75.0843563078527,113.49776111159225,91.92593873058675,88.51815123106495
8.357442778838104,124.4680978330451,113.66185408490051,123.47645597299682,152.03183044051548,133.24134696369032,131.86444466440557
11.222220041671617,213.95503052666075,153.71209758354223,207.54036559379244,252.02974762012693,248.68641242471668,221.52479660887266
15.068990120110003,351.9056530882309,289.5924748845779,333.629849279115,389.4075732113217,431.7992456515578,373.5343320445198
20.234362042160495,525.0256046093265,505.32252745202317,574.3262428228584,665.234039813371,725.0596209079899,631.6326397791894
27.17032820313752,960.8055253565573,854.6926233485847,930.7395487018572,1097.6966811345876,1248.9885197490546,1073.2100673547138
36.48381565616125,1590.9602121971043,1476.9035997384183,1472.0279467022463,1815.4121891545099,2165.8038329853334,1807.7977992854508
48.989794855663554,2610.039419815102,2434.9608842780303,2328.320169723581,2981.9188630080325,3606.7098260250123,2975.508572280557
65.78259309877575,4326.24298045397,4144.109150219948,3754.1978924684922,4773.034648847004,6052.721462678403,4933.513726777094
88.33165289931453,7045.212702118014,7089.107177247254,5866.75850782378,7690.367700007841,9898.44434476162,8045.520171106535
118.61011456646561,11756.299226660263,11543.081564658823,8549.280878508409,11838.767807624137,15418.994630176614,12624.523065784537
159.26747452021553,17093.40620641034,17543.270888613213,11849.557756633598,16759.042354731024,24062.04816000865,19074.874800918744
213.8614276932771,16770.55043317724,23620.42894501576,15267.96586099552,20831.704061888035,35077.30868479686,26529.718115934043
287.16918123292976,14215.908662044809,32553.99140460308,19258.29370990677,20294.180064454955,48440.25173551156,35719.88220787595
385.6054807988343,19805.269242826333,47168.48063321592,25071.34934987877,19315.066809007723,70409.93664051883,51039.398815503104
517.7839285668084,45334.76224566692,77247.59256651762,31499.906525419945,42129.60900297166,97099.66334493879,77580.56064589552
